symbol,name,cache_file,metadata_file,metadata_exists,source,adjust,api_name,download_method,fallback_used,downloaded_at,row_count,status,reason
510300,沪深300ETF华泰柏瑞,data\cache\510300.csv,data\cache_meta\510300.json,True,akshare.fund_etf_hist_sina,unknown,fund_etf_hist_sina,akshare_sina,False,2026-05-14T14:35:49+08:00,1782,warning_unknown_adjustment,metadata exists but adjustment is unknown
588000,科创50ETF华夏,data\cache\588000.csv,data\cache_meta\588000.json,True,akshare.fund_etf_hist_sina,unknown,fund_etf_hist_sina,akshare_sina,False,2026-05-14T14:35:51+08:00,1329,warning_unknown_adjustment,metadata exists but adjustment is unknown
563360,A500ETF华泰柏瑞,data\cache\563360.csv,data\cache_meta\563360.json,False,,unknown,,legacy_cache,False,,381,warning_legacy_cache_without_metadata,legacy cache without metadata
159352,A500ETF南方,data\cache\159352.csv,data\cache_meta\159352.json,False,,unknown,,legacy_cache,False,,381,warning_legacy_cache_without_metadata,legacy cache without metadata
588200,科创芯片ETF嘉实,data\cache\588200.csv,data\cache_meta\588200.json,False,,unknown,,legacy_cache,False,,857,warning_legacy_cache_without_metadata,legacy cache without metadata
159338,中证A500ETF国泰,data\cache\159338.csv,data\cache_meta\159338.json,False,,unknown,,legacy_cache,False,,381,warning_legacy_cache_without_metadata,legacy cache without metadata
159915,创业板ETF易方达,data\cache\159915.csv,data\cache_meta\159915.json,True,akshare.fund_etf_hist_sina,unknown,fund_etf_hist_sina,akshare_sina,False,2026-05-14T14:35:50+08:00,1781,warning_unknown_adjustment,metadata exists but adjustment is unknown
510500,中证500ETF南方,data\cache\510500.csv,data\cache_meta\510500.json,True,akshare.fund_etf_hist_sina,unknown,fund_etf_hist_sina,akshare_sina,False,2026-05-14T14:35:50+08:00,1782,warning_unknown_adjustment,metadata exists but adjustment is unknown
510050,上证50ETF华夏,data\cache\510050.csv,data\cache_meta\510050.json,False,,unknown,,legacy_cache,False,,1781,warning_legacy_cache_without_metadata,legacy cache without metadata
510310,沪深300ETF易方达,data\cache\510310.csv,data\cache_meta\510310.json,False,,unknown,,legacy_cache,False,,1781,warning_legacy_cache_without_metadata,legacy cache without metadata
159919,沪深300ETF嘉实,data\cache\159919.csv,data\cache_meta\159919.json,False,,unknown,,legacy_cache,False,,1780,warning_legacy_cache_without_metadata,legacy cache without metadata
512050,A500ETF华夏,data\cache\512050.csv,data\cache_meta\512050.json,False,,unknown,,legacy_cache,False,,358,warning_legacy_cache_without_metadata,legacy cache without metadata
515880,通信ETF国泰,data\cache\515880.csv,data\cache_meta\515880.json,False,,unknown,,legacy_cache,False,,1614,warning_legacy_cache_without_metadata,legacy cache without metadata
159516,半导体设备ETF国泰,data\cache\159516.csv,data\cache_meta\159516.json,False,,unknown,,legacy_cache,False,,673,warning_legacy_cache_without_metadata,legacy cache without metadata
510330,沪深300ETF华夏,data\cache\510330.csv,data\cache_meta\510330.json,False,,unknown,,legacy_cache,False,,1781,warning_legacy_cache_without_metadata,legacy cache without metadata
159361,A500ETF易方达,data\cache\159361.csv,data\cache_meta\159361.json,False,,unknown,,legacy_cache,False,,356,warning_legacy_cache_without_metadata,legacy cache without metadata
159326,电网设备ETF华夏,data\cache\159326.csv,data\cache_meta\159326.json,False,,unknown,,legacy_cache,False,,400,warning_legacy_cache_without_metadata,legacy cache without metadata
588170,科创半导体ETF华夏,data\cache\588170.csv,data\cache_meta\588170.json,False,,unknown,,legacy_cache,False,,264,warning_legacy_cache_without_metadata,legacy cache without metadata
512880,证券ETF国泰,data\cache\512880.csv,data\cache_meta\512880.json,True,akshare.fund_etf_hist_sina,unknown,fund_etf_hist_sina,akshare_sina,False,2026-05-14T14:35:52+08:00,1782,warning_unknown_adjustment,metadata exists but adjustment is unknown
512480,半导体ETF国联安,data\cache\512480.csv,data\cache_meta\512480.json,False,,unknown,,legacy_cache,False,,1675,warning_legacy_cache_without_metadata,legacy cache without metadata
159949,创业板50ETF华安,data\cache\159949.csv,data\cache_meta\159949.json,False,,unknown,,legacy_cache,False,,1781,warning_legacy_cache_without_metadata,legacy cache without metadata
159845,中证1000ETF华夏,data\cache\159845.csv,data\cache_meta\159845.json,False,,unknown,,legacy_cache,False,,1237,warning_legacy_cache_without_metadata,legacy cache without metadata
159206,卫星ETF永赢,data\cache\159206.csv,data\cache_meta\159206.json,False,,unknown,,legacy_cache,False,,280,warning_legacy_cache_without_metadata,legacy cache without metadata
512100,中证1000ETF南方,data\cache\512100.csv,data\cache_meta\512100.json,False,,unknown,,legacy_cache,False,,1780,warning_legacy_cache_without_metadata,legacy cache without metadata
588080,科创50ETF易方达,data\cache\588080.csv,data\cache_meta\588080.json,False,,unknown,,legacy_cache,False,,1328,warning_legacy_cache_without_metadata,legacy cache without metadata
159363,创业板人工智能ETF华宝,data\cache\159363.csv,data\cache_meta\159363.json,False,,unknown,,legacy_cache,False,,337,warning_legacy_cache_without_metadata,legacy cache without metadata
159995,芯片ETF华夏,data\cache\159995.csv,data\cache_meta\159995.json,False,,unknown,,legacy_cache,False,,1516,warning_legacy_cache_without_metadata,legacy cache without metadata
512400,有色金属ETF南方,data\cache\512400.csv,data\cache_meta\512400.json,False,,unknown,,legacy_cache,False,,1781,warning_legacy_cache_without_metadata,legacy cache without metadata
