symbol,name,category,sub_category,review_priority,review_status,manual_review_reason,primary_failure_type,secondary_failure_type,history_status,row_count,min_required_rows,rows_needed,first_date,last_date,latest_expected_date,end_date_gap_days,liquidity_status,abnormal_return_flag,low_liquidity_flag,missing_cache_flag,cache_status,candidate_status,observation_status,evidence_fields,recommended_checks,possible_outcomes,recommended_action,notes
159231,通用航空ETF华宝,unknown,指数型-股票,P0_manual_review,blocked_until_review,abnormal_return;requires_review;low_liquidity,new_etf_short_history,insufficient_rows;abnormal_return;zero_or_low_liquidity;low_liquidity,short_history,249,250,1,2025-04-29,2026-05-12,2026-05-15,3,low_liquidity,True,True,False,fresh,blocked_manual_review,manual_review_required,abnormal_return;insufficient_rows;zero_or_low_liquidity;low_liquidity;short_history;price_quality_status:requires_review;candidate_status:blocked_manual_review;observation_status:manual_review_required;data_quality_report:warnings;data_quality_report:errors;data_failure_summary:failure_reason,inspect daily return outlier and adjustment/source consistency;compare source data before any refresh acceptance;verify avg_amount_20 and practical tradability;confirm row_count and rows_needed against minimum history rule,keep_blocked;observe_until_history_sufficient;investigate_source_data;refresh_after_manual_confirmation;exclude_from_candidate_pool,keep blocked until manual review is recorded; verify abnormal return source/adjustment evidence; keep liquidity risk visible before any candidate use; do not auto-clear manual_review_required,manual review report only; does not clear candidate gate block; cache presence is not a review clearance; too few rows: 249 < 250; daily close return exceeds 20% on 1 day(s); avg_amount_20 11017930.35 < 20000000.00; short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
159246,创业板人工智能ETF富国,broad_based,指数型-股票,P0_manual_review,blocked_until_review,abnormal_return;requires_review,new_etf_short_history,insufficient_rows;abnormal_return,short_history,201,250,49,2025-07-10,2026-05-12,2026-05-15,3,ok,True,False,False,fresh,blocked_manual_review,manual_review_required,abnormal_return;insufficient_rows;short_history;price_quality_status:requires_review;candidate_status:blocked_manual_review;observation_status:manual_review_required;data_quality_report:warnings;data_quality_report:errors;data_failure_summary:failure_reason,inspect daily return outlier and adjustment/source consistency;compare source data before any refresh acceptance;confirm row_count and rows_needed against minimum history rule,keep_blocked;observe_until_history_sufficient;investigate_source_data;refresh_after_manual_confirmation;exclude_from_candidate_pool,keep blocked until manual review is recorded; verify abnormal return source/adjustment evidence; do not auto-clear manual_review_required,manual review report only; does not clear candidate gate block; cache presence is not a review clearance; too few rows: 201 < 250; daily close return exceeds 20% on 1 day(s); short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
159287,创业板综ETF博时,broad_based,指数型-股票,P0_manual_review,blocked_until_review,abnormal_return;requires_review;low_liquidity,new_etf_short_history,insufficient_rows;abnormal_return;zero_or_low_liquidity;low_liquidity,short_history,167,250,83,2025-08-27,2026-05-12,2026-05-15,3,low_liquidity,True,True,False,fresh,blocked_manual_review,manual_review_required,abnormal_return;insufficient_rows;zero_or_low_liquidity;low_liquidity;short_history;price_quality_status:requires_review;candidate_status:blocked_manual_review;observation_status:manual_review_required;data_quality_report:warnings;data_quality_report:errors;data_failure_summary:failure_reason,inspect daily return outlier and adjustment/source consistency;compare source data before any refresh acceptance;verify avg_amount_20 and practical tradability;confirm row_count and rows_needed against minimum history rule,keep_blocked;observe_until_history_sufficient;investigate_source_data;refresh_after_manual_confirmation;exclude_from_candidate_pool,keep blocked until manual review is recorded; verify abnormal return source/adjustment evidence; keep liquidity risk visible before any candidate use; do not auto-clear manual_review_required,manual review report only; does not clear candidate gate block; cache presence is not a review clearance; too few rows: 167 < 250; daily close return exceeds 20% on 1 day(s); avg_amount_20 14918498.20 < 20000000.00; short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
159387,创业板新能源ETF国泰,broad_based,指数型-股票,P0_manual_review,blocked_until_review,abnormal_return;requires_review,new_etf_short_history,insufficient_rows;abnormal_return,short_history,223,250,27,2025-06-10,2026-05-12,2026-05-15,3,ok,True,False,False,fresh,blocked_manual_review,manual_review_required,abnormal_return;insufficient_rows;short_history;price_quality_status:requires_review;candidate_status:blocked_manual_review;observation_status:manual_review_required;data_quality_report:warnings;data_quality_report:errors;data_failure_summary:failure_reason,inspect daily return outlier and adjustment/source consistency;compare source data before any refresh acceptance;confirm row_count and rows_needed against minimum history rule,keep_blocked;observe_until_history_sufficient;investigate_source_data;refresh_after_manual_confirmation;exclude_from_candidate_pool,keep blocked until manual review is recorded; verify abnormal return source/adjustment evidence; do not auto-clear manual_review_required,manual review report only; does not clear candidate gate block; cache presence is not a review clearance; too few rows: 223 < 250; daily close return exceeds 20% on 1 day(s); short history is not a low score; it blocks strategy eligibility until enough rows accumulate; abnormal return may reflect adjustment/source issues and requires manual confirmation
560320,N食品ETF富国,unknown,指数型-股票,P0_manual_review,blocked_until_review,unknown_quality_finding;very_short_history,new_etf_short_history,insufficient_rows;unknown,very_short_history,1,250,249,2026-05-13,2026-05-13,2026-05-15,2,ok,False,False,False,fresh,blocked_manual_review,manual_review_required,insufficient_rows;unknown;very_short_history;candidate_status:blocked_manual_review;observation_status:manual_review_required;data_quality_report:warnings;data_quality_report:errors;data_failure_summary:failure_reason,confirm listing/new-fund status and wait for minimum history;inspect quality warnings/errors for unknown validation finding;confirm row_count and rows_needed against minimum history rule,keep_blocked;observe_until_history_sufficient;exclude_from_candidate_pool,keep blocked until manual review is recorded; do not promote by manual review alone; history must also accumulate; do not auto-clear manual_review_required,manual review report only; does not clear candidate gate block; cache presence is not a review clearance; too few rows: 1 < 250; close equals high at an unusually high ratio; short history is not a low score; it blocks strategy eligibility until enough rows accumulate
