symbol,name,current_candidate_status,current_block_reason,unblock_path,unblock_status,unblock_priority,required_conditions,waiting_condition,manual_review_condition,benchmark_condition,factor_gate_condition,metadata_condition,liquidity_condition,estimated_earliest_review_date,can_be_unblocked_by_waiting,can_be_unblocked_by_manual_review,can_be_unblocked_by_refresh,can_be_unblocked_by_benchmark_update,still_blocked_after_primary_fix,next_action,notes
159018,石油ETF广发,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (9/250; rows_needed=241); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (9/250; rows_needed=241),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159019,石油ETF华宝,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (11/250; rows_needed=239); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (11/250; rows_needed=239),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159020,养殖ETF易方达,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (9/250; rows_needed=241); factor_gate_status != blocked_for_strategy_use; keep liquidity watch until tradability threshold is met,row_count >= min_required_rows (9/250; rows_needed=241),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,keep liquidity watch until tradability threshold is met,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159022,科创创业人工智能ETF富国,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (10/250; rows_needed=240); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (10/250; rows_needed=240),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159026,石油ETF南方,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (10/250; rows_needed=240); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (10/250; rows_needed=240),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159030,粮食ETF华夏,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (1/250; rows_needed=249); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (1/250; rows_needed=249),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159032,工业有色ETF易方达,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (1/250; rows_needed=249); at least one enabled factor produces usable evidence; schema-valid benchmark/index cache is available; run update-index-data only in controlled environment; factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (1/250; rows_needed=249),,schema-valid benchmark/index cache is available; run update-index-data only in controlled environment,factor_gate_status != blocked_for_strategy_use,,,unknown,True,False,False,True,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159100,巴西ETF华夏,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (117/250; rows_needed=133); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (117/250; rows_needed=133),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,2026-11-27,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159103,金融科技ETF汇添富,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (157/250; rows_needed=93); factor_gate_status != blocked_for_strategy_use; keep liquidity watch until tradability threshold is met,row_count >= min_required_rows (157/250; rows_needed=93),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,keep liquidity watch until tradability threshold is met,2026-09-24,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159106,民企300ETF前海开源,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (133/250; rows_needed=117); factor_gate_status != blocked_for_strategy_use; keep liquidity watch until tradability threshold is met,row_count >= min_required_rows (133/250; rows_needed=117),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,keep liquidity watch until tradability threshold is met,2026-11-05,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
