symbol,name,total_score,score_status,enabled_factor_count,used_factor_count,skipped_factor_count,failed_factor_count,missing_required_factor_count,rank,computed_at,notes
159106,159106,0.5872901642,ok,10,6,5,1,0,4,2026-05-15T12:15:27+08:00,"used=momentum_20d,momentum_60d,volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159107,创业板软件ETF富国,0.2572722278,ok,10,6,5,1,0,23,2026-05-15T12:15:27+08:00,"used=momentum_20d,momentum_60d,volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159108,159108,0.3440195001,ok,10,6,5,1,0,20,2026-05-15T12:15:27+08:00,"used=momentum_20d,momentum_60d,volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159109,恒生50ETF景顺,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159117,港股通红利低波ETF鹏华,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159118,港股通红利低波ETF华夏,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159119,800现金流ETF招商,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159120,港股通科技ETF国联安,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159121,港股通汽车ETF易方达,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159122,159122,0.4200708758,ok,10,6,5,1,0,12,2026-05-15T12:15:27+08:00,"used=momentum_20d,momentum_60d,volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159123,159123,0.4721143189,ok,10,6,5,1,0,9,2026-05-15T12:15:27+08:00,"used=momentum_20d,momentum_60d,volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159125,港股通科技ETF招商,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159126,港股通50ETF南方,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159127,港股通红利ETF南方,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159128,港股科技ETF天弘,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159129,159129,0.414153823,ok,10,6,5,1,0,14,2026-05-15T12:15:27+08:00,"used=momentum_20d,momentum_60d,volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159130,恒生生物科技ETF鹏华,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159131,港股通信息技术ETF华宝,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159132,恒生生物科技ETF富国,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159133,159133,0.4190137335,ok,10,6,5,1,0,13,2026-05-15T12:15:27+08:00,"used=momentum_20d,momentum_60d,volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159135,港股通科技ETF前海开源,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159136,159136,0.6349163391,ok,10,6,5,1,0,1,2026-05-15T12:15:27+08:00,"used=momentum_20d,momentum_60d,volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159137,港股通医疗ETF华宝,,no_used_factors,10,0,12,0,0,,2026-05-15T12:15:27+08:00,no enabled factor produced a usable score
159138,159138,0.335684545,ok,10,6,5,1,0,21,2026-05-15T12:15:27+08:00,"used=momentum_20d,momentum_60d,volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159139,159139,0.5804496342,ok,10,6,5,1,0,5,2026-05-15T12:15:27+08:00,"used=momentum_20d,momentum_60d,volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
159140,159140,0.5993781099,ok,10,6,5,1,0,3,2026-05-15T12:15:27+08:00,"used=momentum_20d,momentum_60d,volatility_20d,max_drawdown_60d,avg_amount_20,data_completeness; skipped=momentum_120d:insufficient_coverage,tracking_error:source_unavailable,relative_return_60d:source_unavailable,discount_premium:source_unavailable"
